Sample.name,Sample_ID,nm,FF,Freezing.temperature,Particle.ratio,nM_corrected,Control,Filtered,Dilution.factor,Location,Size,Sample
Milliq_S2_b5,Milliq_S2_b5,146.67,0.1,-19.76,1.0,146.67,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,649.08,0.39,-23.59,1.0,649.08,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1964.41,0.77,-26.34,1.0,1964.41,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,162.26,0.11,-19.93,1.0,162.26,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,42.33,0.03,-16.85,1.0,42.33,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,980.94,0.52,-24.62,1.0,980.94,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,604.63,0.36,-23.26,1.0,604.63,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,499.59,0.31,-22.71,1.0,499.59,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,71.32,0.05,-17.19,1.0,71.32,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,178.04,0.13,-19.94,1.0,178.04,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,294.06,0.2,-21.38,1.0,294.06,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2888.6,0.89,-27.8,1.0,2888.6,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,479.54,0.3,-22.29,1.0,479.54,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,519.95,0.32,-22.78,1.0,519.95,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,243.1,0.17,-20.56,1.0,243.1,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1040.21,0.54,-24.87,1.0,1040.21,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,329.15,0.22,-21.48,1.0,329.15,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,194.01,0.14,-20.23,1.0,194.01,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,421.14,0.27,-22.03,1.0,421.14,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,2665.87,0.86,-27.64,1.0,2665.87,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,869.77,0.48,-24.37,1.0,869.77,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1905.14,0.76,-26.32,1.0,1905.14,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,3015.68,0.9,-28.09,1.0,3015.68,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,1271.24,0.61,-25.38,1.0,1271.24,Yes,Yes,1.0,Site2,b_5_m,S2
Milliq_S2_b5,Milliq_S2_b5,56.75,0.04,-16.91,1.0,56.75,Yes,Yes,1.0,Site2,b_5_m,S2
