Well Name;Partition;Content;Freeze Temp;Frozen Fraction
Calibration Offset;Applied;-;-;-
A1;A;MilliQ_RAW_DEMO;-20.09864398;0.16666667
B1;A;MilliQ_RAW_DEMO;-22.20936446;0.36458333
C1;A;MilliQ_RAW_DEMO;-20.70900794;0.20833333
D1;A;MilliQ_RAW_DEMO;-15.98055588;0.05208333
E1;A;MilliQ_RAW_DEMO;-15.59237307;0.04166667
F1;A;MilliQ_RAW_DEMO;-16.46620655;0.06250000
G1;A;MilliQ_RAW_DEMO;-22.42413077;0.39583333
H1;A;MilliQ_RAW_DEMO;-23.86412539;0.55208333
I1;A;MilliQ_RAW_DEMO;-23.91609850;0.56250000
J1;A;MilliQ_RAW_DEMO;-23.83277366;0.54166667
K1;A;MilliQ_RAW_DEMO;-24.06325076;0.57291667
L1;A;MilliQ_RAW_DEMO;-16.80802028;0.07291667
M1;A;MilliQ_RAW_DEMO;-24.91545234;0.69791667
N1;A;MilliQ_RAW_DEMO;-21.22187053;0.23958333
O1;A;MilliQ_RAW_DEMO;-22.75207855;0.45833333
P1;A;MilliQ_RAW_DEMO;-23.16473668;0.48958333
A2;A;MilliQ_RAW_DEMO;-21.37843113;0.28125000
B2;A;MilliQ_RAW_DEMO;-20.00623434;0.15625000
C2;A;MilliQ_RAW_DEMO;-24.38118179;0.60416667
D2;A;MilliQ_RAW_DEMO;-27.24657572;0.93750000
E2;A;MilliQ_RAW_DEMO;-26.55174635;0.89583333
F2;A;MilliQ_RAW_DEMO;-20.42229171;0.17708333
G2;A;MilliQ_RAW_DEMO;-25.86056107;0.84375000
H2;A;MilliQ_RAW_DEMO;-27.29402421;0.94791667
I2;A;MilliQ_RAW_DEMO;-23.82642843;0.53125000
J2;A;MilliQ_RAW_DEMO;-24.22175531;0.58333333
K2;A;MilliQ_RAW_DEMO;-23.29940528;0.51041667
L2;A;MilliQ_RAW_DEMO;-21.07060945;0.22916667
M2;A;MilliQ_RAW_DEMO;-20.64198876;0.19791667
N2;A;MilliQ_RAW_DEMO;-22.79794062;0.46875000
O2;A;MilliQ_RAW_DEMO;-19.17953309;0.11458333
P2;A;MilliQ_RAW_DEMO;-15.24911306;0.02083333
A3;A;MilliQ_RAW_DEMO;-24.24372820;0.59375000
B3;A;MilliQ_RAW_DEMO;-24.64467367;0.64583333
C3;A;MilliQ_RAW_DEMO;-19.21576506;0.12500000
D3;A;MilliQ_RAW_DEMO;-23.28966476;0.50000000
E3;A;MilliQ_RAW_DEMO;-23.05828545;0.47916667
